ticker,fiscal_year,event_name,target_public_companyfacts_available,target_period_end,predeal_pretax_income_for_tax_rate_usd,predeal_normalized_tax_rate,predeal_normalized_tax_rate_source,predeal_observation_days,predeal_annualization_factor,route_a_net_income_plus_after_tax_interest_usd,route_b_operating_income_after_tax_usd,route_a_b_symmetric_gap_pct,triangulation_tolerance_pct,two_route_nopat_triangulated,triangulated_nopat_midpoint_usd,triangulation_status,evidence_backed_nopat_bridge,evidence_backed_nopat_bridge_usd,evidence_backed_nopat_bridge_semantics,acquired_invested_capital_usd,evidence_backed_acquisition_return_proxy_pct,triangulation_economic_run_rate_positive,direct_nopat_disclosed,organic_company_roic_validated,terminal_input_allowed,research_only,v1_7_3_two_route_nopat_triangulated,validation_route_a_usd,validation_route_b_usd,validation_route_gap_pct,validation_scope_adjustment_applied,validation_scope_adjustment_semantics,v1_7_4_scope_adjusted_two_route_triangulated,validated_cohort_candidate
FANG,2018,Energen Corporation,True,2018-09-30,211312000.0,0.2399059211024456,INFERRED_NET_INCOME_PLUS_TAX,273.0,1.336996336996337,247874878.6781714,247170622.27968517,0.2845218862199942,10.0,True,247522750.47892827,EVIDENCE_TRIANGULATED_NOPAT,True,247522750.47892827,PREDEAL_TARGET_SAME_PERIOD_TWO_ROUTE_RUN_RATE_NOT_POST_CLOSE_CONTRIBUTION,8206224000.0,3.016280697174831,True,False,False,False,True,True,247874878.6781714,247170622.27968517,0.2845218862199942,False,V1_7_3_SAME_PERIOD_ROUTES_UNCHANGED,True,True
COP,2021,Concho Resources,True,2020-09-30,-11446000000.0,0.1461645989865455,INFERRED_NET_INCOME_PLUS_TAX,274.0,1.3357664233576645,-12909598623.68647,-12644996902.624956,2.070873873069724,10.0,True,-12777297763.155712,EVIDENCE_TRIANGULATED_NOPAT,True,2599334831.5642366,POST_CLOSE_NET_INCOME_PLUS_PREDEAL_YIELD_AFTER_TAX_INTEREST_PROXY,17439000000.0,14.905297503092129,False,False,False,False,True,True,-12909598623.68647,-12644996902.624956,2.070873873069724,False,V1_7_3_SAME_PERIOD_ROUTES_UNCHANGED,True,False
DVN,2021,WPX Energy,True,2020-09-30,-961000000.0,0.2018730489073881,DIRECT_PRETAX_AND_TAX_FACTS,274.0,1.3357664233576645,-1117063513.5237775,-864616169.2883781,25.47811802532662,10.0,False,,LOCKED_ROUTE_DIVERGENCE_ABOVE_PREDECLARED_TOLERANCE,True,1574159748.1262648,POST_CLOSE_NET_INCOME_PLUS_PREDEAL_YIELD_AFTER_TAX_INTEREST_PROXY,8650000000.0,18.19837859105508,False,False,False,False,True,False,-869946725.2026099,-864616169.2883781,0.6146281499692801,True,PARENT_TO_CONSOLIDATED_AND_DISCONTINUED_OPERATIONS_SCOPE_RECONCILED,True,True
FANG,2024,Endeavor Energy Resources,False,,,,DIRECT_PRETAX_AND_TAX_FACTS,,,,,,10.0,False,,LOCKED_FEWER_THAN_TWO_COMPARABLE_NOPAT_ROUTES,False,,LOCKED_PRIVATE_TARGET_FINANCING_AND_NONOPERATING_SCOPE_UNAVAILABLE,27420000000.0,,False,False,False,False,True,False,,,,False,V1_7_3_SAME_PERIOD_ROUTES_UNCHANGED,False,True
CNX,2025,Apex Energy II,False,,,,DIRECT_PRETAX_AND_TAX_FACTS,,,,,,10.0,False,,LOCKED_FEWER_THAN_TWO_COMPARABLE_NOPAT_ROUTES,False,,LOCKED_PRIVATE_TARGET_FINANCING_AND_NONOPERATING_SCOPE_UNAVAILABLE,523256000.0,,False,False,False,False,True,False,,,,False,V1_7_3_SAME_PERIOD_ROUTES_UNCHANGED,False,False
EOG,2025,Encino Acquisition Partners,False,,,,DIRECT_PRETAX_AND_TAX_FACTS,,,,,,10.0,False,,LOCKED_FEWER_THAN_TWO_COMPARABLE_NOPAT_ROUTES,False,,LOCKED_PRIVATE_TARGET_FINANCING_AND_NONOPERATING_SCOPE_UNAVAILABLE,5717000000.0,,False,False,False,False,True,False,,,,False,V1_7_3_SAME_PERIOD_ROUTES_UNCHANGED,False,False
